Region,Provincia,Distrito,Ubigeo,Votosemitidos,Electores,N_Partidos,P_ausentismo,Año
AMAZONAS,LUYA,LUYA,10409,2003.0,282.0,3.0,0.22206796845473806,2022
AMAZONAS,LUYA,LUYA,10409,2003.0,280.0,3.0,0.22206796845473806,2022
AMAZONAS,LUYA,LUYA VIEJO,10410,314.0,185.0,3.0,0.28211275791920953,2022
AMAZONAS,LUYA,LUYA VIEJO,10410,314.0,186.0,3.0,0.28211275791920953,2022
AMAZONAS,LUYA,MARIA,10411,553.0,260.0,4.0,0.17701763434522055,2022
AMAZONAS,LUYA,MARIA,10411,553.0,261.0,4.0,0.17701763434522055,2022
AMAZONAS,LUYA,OCALLI,10412,1784.0,300.0,5.0,0.1404745754380791,2022
AMAZONAS,LUYA,OCALLI,10412,1784.0,274.0,5.0,0.1404745754380791,2022
AMAZONAS,LUYA,OCALLI,10412,1784.0,275.0,5.0,0.1404745754380791,2022
AMAZONAS,LUYA,OCUMAL,10413,1719.0,300.0,3.0,0.20708388129202748,2022
AMAZONAS,LUYA,OCUMAL,10413,1719.0,226.0,3.0,0.20708388129202748,2022
AMAZONAS,LUYA,OCUMAL,10413,1719.0,227.0,3.0,0.20708388129202748,2022
AMAZONAS,LUYA,PISUQUIA,10414,2152.0,300.0,4.0,0.14180793695331412,2022
AMAZONAS,LUYA,PISUQUIA,10414,2152.0,285.0,4.0,0.14180793695331412,2022
AMAZONAS,LUYA,PISUQUIA,10414,2152.0,286.0,4.0,0.14180793695331412,2022
AMAZONAS,LUYA,SAN CRISTOBAL,10415,429.0,281.0,5.0,0.15239519446758032,2022
AMAZONAS,LUYA,SAN CRISTOBAL,10415,429.0,282.0,5.0,0.15239519446758032,2022
AMAZONAS,LUYA,SAN FRANCISCO DEL YESO,10416,428.0,204.0,3.0,0.23311546840958608,2022
AMAZONAS,LUYA,SAN JERONIMO,10417,557.0,247.0,4.0,0.18740341082234122,2022
AMAZONAS,LUYA,SAN JERONIMO,10417,557.0,248.0,4.0,0.18740341082234122,2022
AMAZONAS,LUYA,SAN JUAN DE LOPECANCHA,10418,358.0,249.0,3.0,0.2391566265060241,2022
AMAZONAS,LUYA,SAN JUAN DE LOPECANCHA,10418,358.0,250.0,3.0,0.2391566265060241,2022
AMAZONAS,LUYA,SANTA CATALINA,10419,1129.0,240.0,5.0,0.15075881120466494,2022
AMAZONAS,LUYA,SANTA CATALINA,10419,1129.0,241.0,5.0,0.15075881120466494,2022
AMAZONAS,LUYA,SANTO TOMAS,10420,1520.0,289.0,5.0,0.11534580537199432,2022
AMAZONAS,LUYA,SANTO TOMAS,10420,1520.0,290.0,5.0,0.11534580537199432,2022
AMAZONAS,LUYA,TINGO,10421,891.0,293.0,3.0,0.25341296928327645,2022
AMAZONAS,LUYA,TRITA,10422,807.0,258.0,3.0,0.2606589147286822,2022
AMAZONAS,LUYA,PROVIDENCIA,10423,898.0,244.0,3.0,0.24515780082524813,2022
AMAZONAS,LUYA,PROVIDENCIA,10423,898.0,245.0,3.0,0.24515780082524813,2022
AMAZONAS,RODRIGUEZ DE MENDOZA,COCHAMAL,10502,541.0,229.0,5.0,0.15749636098981076,2022
AMAZONAS,RODRIGUEZ DE MENDOZA,CHIRIMOTO,10503,1273.0,293.0,7.0,0.09506753003674683,2022
AMAZONAS,RODRIGUEZ DE MENDOZA,HUAMBO,10504,1543.0,296.0,4.0,0.16249274843024844,2022
AMAZONAS,RODRIGUEZ DE MENDOZA,HUAMBO,10504,1543.0,297.0,4.0,0.16249274843024844,2022
AMAZONAS,RODRIGUEZ DE MENDOZA,LIMABAMBA,10505,984.0,279.0,4.0,0.1759690220174091,2022
AMAZONAS,RODRIGUEZ DE MENDOZA,LIMABAMBA,10505,984.0,280.0,4.0,0.1759690220174091,2022
AMAZONAS,RODRIGUEZ DE MENDOZA,LONGAR,10506,1122.0,288.0,3.0,0.25900294758426246,2022
AMAZONAS,RODRIGUEZ DE MENDOZA,LONGAR,10506,1122.0,289.0,3.0,0.25900294758426246,2022
AMAZONAS,RODRIGUEZ DE MENDOZA,MILPUCC,10507,417.0,265.0,3.0,0.21586071814473007,2022
