Region,Provincia,Distrito,Ubigeo,Votosemitidos,Electores,N_Partidos,P_ausentismo,Año,Utilidad
CAJAMARCA,CAJAMARCA,NAMORA,60111,5830.0,283.0,4.0,0.1767999797329664,2022,4710040.25
CAJAMARCA,CAJAMARCA,NAMORA,60111,5830.0,291.0,4.0,0.1767999797329664,2022,4710040.25
CAJAMARCA,CAJAMARCA,NAMORA,60111,5830.0,292.0,4.0,0.1767999797329664,2022,4710040.25
CAJAMARCA,CAJAMARCA,SAN JUAN,60112,2980.0,300.0,7.0,0.0956147430723702,2022,460669.6499999999
CAJAMARCA,CAJAMARCA,SAN JUAN,60112,2980.0,294.0,7.0,0.0956147430723702,2022,460669.6499999999
CAJAMARCA,CAJAMARCA,SAN JUAN,60112,2980.0,295.0,7.0,0.0956147430723702,2022,460669.6499999999
CAJAMARCA,CAJABAMBA,CACHACHI,60202,7445.0,300.0,5.0,0.0946238553135816,2022,23022375.1
CAJAMARCA,CAJABAMBA,CACHACHI,60202,7445.0,241.0,5.0,0.0946238553135816,2022,23022375.1
CAJAMARCA,CAJABAMBA,CONDEBAMBA,60203,5512.0,297.0,8.0,0.0729268692562661,2022,6204024.640000001
CAJAMARCA,CAJABAMBA,CONDEBAMBA,60203,5512.0,298.0,8.0,0.0729268692562661,2022,6204024.640000001
CAJAMARCA,CAJABAMBA,CONDEBAMBA,60203,5512.0,300.0,8.0,0.0729268692562661,2022,6204024.640000001
CAJAMARCA,CAJABAMBA,CONDEBAMBA,60203,5512.0,239.0,8.0,0.0729268692562661,2022,6204024.640000001
CAJAMARCA,CAJABAMBA,CONDEBAMBA,60203,5512.0,240.0,8.0,0.0729268692562661,2022,6204024.640000001
CAJAMARCA,CELENDIN,HUASMIN,60304,5765.0,292.0,9.0,0.065607461128392,2022,5223704.95
CAJAMARCA,CELENDIN,HUASMIN,60304,5765.0,293.0,9.0,0.065607461128392,2022,5223704.95
CAJAMARCA,CELENDIN,JORGE CHAVEZ,60305,586.0,264.0,3.0,0.2466329966329966,2022,-165578.01999999955
CAJAMARCA,CELENDIN,JOSE GALVEZ,60306,1702.0,278.0,8.0,0.0848622177526795,2022,-416200.21
CAJAMARCA,CELENDIN,JOSE GALVEZ,60306,1702.0,279.0,8.0,0.0848622177526795,2022,-416200.21
CAJAMARCA,CELENDIN,MIGUEL IGLESIAS,60307,2325.0,299.0,3.0,0.2091821670166572,2022,267337.5799999996
CAJAMARCA,CELENDIN,MIGUEL IGLESIAS,60307,2325.0,300.0,3.0,0.2091821670166572,2022,267337.5799999996
CAJAMARCA,CELENDIN,MIGUEL IGLESIAS,60307,2325.0,200.0,3.0,0.2091821670166572,2022,267337.5799999996
CAJAMARCA,CELENDIN,MIGUEL IGLESIAS,60307,2325.0,199.0,3.0,0.2091821670166572,2022,267337.5799999996
CAJAMARCA,CELENDIN,OXAMARCA,60308,3302.0,276.0,3.0,0.2140384511891964,2022,-1328950.0600000003
CAJAMARCA,CELENDIN,OXAMARCA,60308,3302.0,277.0,3.0,0.2140384511891964,2022,-1328950.0600000003
CAJAMARCA,CELENDIN,SOROCHUCO,60309,5378.0,300.0,6.0,0.1075191528976553,2022,972946.1899999996
CAJAMARCA,CELENDIN,SOROCHUCO,60309,5378.0,290.0,6.0,0.1075191528976553,2022,972946.1899999996
CAJAMARCA,CELENDIN,SOROCHUCO,60309,5378.0,291.0,6.0,0.1075191528976553,2022,972946.1899999996
CAJAMARCA,CELENDIN,SUCRE,60310,2815.0,268.0,7.0,0.0926366086692533,2022,729321.1899999976
CAJAMARCA,CELENDIN,SUCRE,60310,2815.0,269.0,7.0,0.0926366086692533,2022,729321.1899999976
CAJAMARCA,CELENDIN,SUCRE,60310,2815.0,296.0,7.0,0.0926366086692533,2022,729321.1899999976
CAJAMARCA,CELENDIN,SUCRE,60310,2815.0,297.0,7.0,0.0926366086692533,2022,729321.1899999976
CAJAMARCA,CELENDIN,UTCO,60311,968.0,239.0,4.0,0.1784509262903277,2022,-177089.8700000001
CAJAMARCA,CELENDIN,UTCO,60311,968.0,240.0,4.0,0.1784509262903277,2022,-177089.8700000001
